,proverb,meaning,example
27,اب خنک یا اب خنک خوردن,1- در گوشه ی دنجی ارام لمیدن 2- زندانی بودن؛ در زندان به سر بردن,1- همین که تقی به توقی خورد، همه شون رفتن اروپا و از اون موقع تا حالا دارن اونجا اب خنک می خورن.  2- پسرجون، دست از این کارها بردار، اگه گیر بیفتی، باید پنج شیش سال اب خنک بخوری. توضیح: تفسیر زیر درباره ی معنی دوم این اصط. گفته شده است:  در زمان قدیم که یخچالی وجود نداشت، خنک ترین اب در تهران اب قناتی بود که مظهر ان درمحل قصر قدیمی قاجار وجود داشت. در دوران رضاشاه زندان قصر را در ان مکان ساختند. پس از ان، هرکس به زندان می افتاد، می گفتند: رفته است اب خنک بخورد.
28,اب خوش از گلو پایین نرفتن,از فرط غم و غصه و مشکل با ناراحتی زندگی کردن، زندگی را با غم و سختی گذراندن.,
29,اب در دهان کسی خشکیدن یا خشک شدن,؛ اب دهان کسی خشکیدن یا خشک شدن1- به شدت ترسیدن 2- شگفت زده شدن,1- با شنیدن ان صدای وحشتناک یک باره اب در دهانش خشکید.  2- این مرد حرف هایی می زنه که اب دهن ادم خشک می شه.
30,اب در لانه ی یا خوابگاه یا خوابگه کسی ریختن,کسی را اشفته یا ناارام یا بی قرار کردن؛ غوغا یا اشوب به پا کردن,اب در خوابگه مورچگان ریخته ام ( نیما یوشیچ )
31,اب در هاونگ کوبیدن,کار عبث و بیهوده انجام دادن.,
32,اب در کوزه و ما تشنه لبان می گردیم,از داشتن چیزی یا نعمتی بی اطلاع بودن یا قدر ان را ندانستن و یا خود داشتن و از دیگران طلبیدن.,
33,اب در یا توی یا گوش کسی کردن,گول زدن یا اغفال کردن کسی,با این حرف ها اب توی گوش مردم بیچاره می کنند.
34,اب دریا به غربال پیمودن,( قدیم ) به کار ناممکن یا محال دست زدن,برشمردن فضایل ان بزرگ مرد همچون  است.
35,اب دریا توی دل کسی تکان نخوردن,اسایش کامل داشتن؛ راحت یا اسوده خاطر بودن,از وقتی همسرش باردار شده بود، نمی گذاشت اب توی دل او تکان بخورد.
36,اب دهن مرده,غذای بی مزه یا چیز کم رنگ.,
37,اب دوغ خیاری,( عامیانه ) پیش پاافتاده، مبتذل,- هروقت می رم خونه شون، همه پای تلویزیون نشسته ان و دارن یکی از این فیلم های  رو تماشا می کنن.  - اینقدر تعارف  کرد که حال همه رو به هم زد.
38,اب دیزی را زیاد کردن,برای پذیرایی از مهمان متحمل خرج یا زحمت اضافی نشدن یا مقدار کمی به غذا اضافه کردن,نگران نباش، دوتا مهمون کمتر یا بیشتر فرقی نمی کنه، اب دیزی رو زیاد می کنیم و سروته قضیه را به هم می اریم.
39,اب را با قاشق و چنگال خوردن,بیش از اندازه مبادی اداب بودن؛ خود را خیلی مبادی اداب جلوه دادن,من حوصله ی این ادم هایی را ندارم که اب را با قاشق و چنگال می خورند.
40,اب را زیر هفت طبقه زمین دیدن,بسیار هوشیار و زرنگ بودن,این پیرمرد را دست کم نگیرید، اب را زیر هفت طبقه زمین می بیند.
41,اب را گره زدن,زرنگ و نیرنگ باز بودن,تو نمی توانی از پس این ادم بربیایی، اب را گره می زند.
42,اب را گل الود کردن یا به گل الودن,اشفتگی یا سردرگمی ایجاد کردن,اب را گل الود می کنند تا به هدف های پلید خودشان برسند.
43,اب راحت تر از شربت پایین می رود,زندگی بی الایش راحت تر است.,
44,اب رفته به جوی امدن,بازسازی شدن وضع خوب یا خوشایند گذشته,طرب نوجوان ز پیر مجوی که دگر ناید اب رفته به جوی ( سعدی )
45,اب رفته را به جوی بازاوردن,وضع خوب یا خوشایند پیشین را دوباره ایجاد کردن,اگر تلاش کنی شاید بتوانی اب رفته را به جوی بازاوری.
46,اب رفته رفته به جو بر نمی گردد,چیزی که گذشت دیگر بر نمی گردد یا کاری که انجام شد دیگر شده.,
47,اب زیپو,(  ) ( اسم ) چیز رقیق و کمرنگ ( غالبا در مورد غذا گویند ).,
48,اب زیر پوست رفتن,چاق و چله شدن، سر حال بودن، بهتر شدن اوضاع.,
49,اب زیر کاه,(  ) ( اسم ) ۱ - ابی که در زیر خار و خاشاک پنهان ماند . ۲ - کسی که در ظاهر خود را نیکو کار و خوش خلق نشان دهد و در باطن شرور و فتنه انگیز باشد . ۳ - زیرکی که کارهای خود را پوشیده انجام دهد مکار حیله گر . ۴ - رواج و رونق مخفی خوبی و نیکی پوشیده.ابی که زیرتوده کاه یاخاشاک بیفتدوتامدتی بماند، کنایه ازشخص زرنگ وتودارباصورت ساده وباطن موذی، ابی که زیرتوده کاه یاخاشاک بیفتدوتامدتی بماند، کنایه ازشخص زرنگ وتودارباصورت ساده وباطن موذی,
50,اب سر چشمه گل الود است,کار از بیخ عیب دارد، مشکل از اصل و اول کار است.,
51,اب شدن و به یا در زمین فرورفتن,یک باره ناپدید یا گم وگور شدن,- همه ی خانه را زیرورو کردم ولی اثری از ان پیدا نکردم. اب شده بود و به زمین فرورفته بود.  - شبکه تون متلاشی شده. فقط یکی دو نفر فرار کردن، که اونا رو هم پیدا می کنیم. اگه اب شن و تو زمین فرو برن، بازم تو چنگ مونن.  ( هوشنگ عاشورزاده – با هجوم باد، از مجموعه ی داستان های نو )
52,اب شده رفته تو زمین,گم شدن چیزی که جلو چشم بوده.,
53,اب غوره گرفتن یا غوره چکاندن,( تحقیرامیز )  [ بسیار ] گریه کردن,- اب غوره گرفتن دردی از ما دوا نمی کنه، باید فکری بکنیم که از این مخمصه رهایی پیدا کنیم.  - صبح تا شب نشسته و غوره می چکونه؛ انگار دنیا به اخر رسیده.
54,اب نطلبیده مراد است,هرگاه برای کسی ناخواسته اب بیاورند، ان را به فال نیک می گیرند و به کامروایی تعبیر می کنند.,
55,اب نمی بینه اگر نه شناگر قابلی است,فرصتی به دست نمی اورد و گرنه جوهر و توان انجامش را دارد. کسی که کار خوب یا بدی از عهده اش بر اید اما زمینه انجام ان کار برایش فراهم نباشد.,
56,اب نکشیده,(  ) . [ ن  ک  یا ک  د یا د ] ( ن مف مرکب ) تطهیرنشده. || مجازا در تداول عوام ، سخت درشت : فحش .,
57,اب ها از اسیاب افتاد,جار و جنجال ها تمام شد و ارامش برقرار گردید.,
58,اب و روغن یا اب وروغن قاطی کردن,عصبانی شدن,الان اب وروغن قاطی کرده و نمی شه باهاش حرف زد، یک ساعت دیگه حالش سر جاش می اد. توضیح: اشاره به این است که اگر ازجمله به علت اسیب دیدن واشر سرسیلندر، اب و روغن موتور خودرو مخلوط شوند، موتور بیش از اندازه گرم می شود و احتمال سوختن ان وجود دارد.
59,اب ورنگ داشتن,شاداب یا باطراوت بودن,هنوز اب ورنگی داشت و مردها را به خود جلب می کرد.
60,اب کردن,(  ) . [ ک  د ] ( مص مرکب ) تذویب. گداختن. اذابه. ذوب. مذ. حل کردن. محلول ساختن. || مجازا، فروختن چیزی بنهانی. بفروش رسانیدن کالایی کم مشتری و کاسد یا قلب و ناروا.- دل کسی را  ؛ او را در مطلوب و ارزویی انتظار دادن.,
61,اب کسی با دیگری به یا توی یک جوی یا جوب رفتن,با هم سازش داشتن یا هم سلیقه بودن یا هم فکر بودن,من نمی توانم با برادرم کار کنم، اب مان توی یک جوی نمی رود. توضیح: این اصطلاح بیشتر به صورت منفی به کار می رود.
62,اب کفن کسی خشک نشدن,زمان زیادی از مرگ کسی نگذشتن,- هنوز اب کفن شوهرش خشک نشده بود که قرارومدار ازدواج با یکی دیگه رو گذاشت.  - اخه بی انصاف ها، بذارین اب کفن اون مرحوم خشک بشه، بعد سر ارث ومیراث با هم دعوا کنین ! - هنوز اب کفن و نم خاک قبر کشته های کابل خشک نشده است که امروز در قندهار باز هم کشتند.  ( یک سایت اینترنتی افغانی )
63,اب که از سر گذشت چه یک وجب چه صد وجب,وقتی که کار خراب شد و انچه که نباید بشود، شد دیگر زیاد و کمش فرقی نمی کند.,
64,اب که زیاد یک جا بمونه بو می گیره,عدم تحرک و فعالیت موجب بیماری و فساد می گردد.,
65,اب که سر بالا بره قورباغه ابوعطا می خونه,کنایه از بهم ریختگی و نابسامانی شرایط و عدم هماهنگی.,
66,اب یا ابی زیر پوست کسی رفتن,1- چاق یا سرحال شدن؛ 2- به رفاه دست یافتن,1- بعد از ان بیماری سخت، یواش یواش ابی زیر پوستش رفته بود.  2- همکار سابقمان می گفت که خیال دارد برای تعطیلات با خانواده به اروپا برود، معلوم است که اب زیر پوستش رفته.
67,ابتدابه ساکن,بی مقدمه؛ بدون تهیه ی مقدمات لازم,چنین موضوعی را نمی توان  مطرح کرد، اول باید مقدمه چینی کرد و صغرا و کبرا اورد و بعد وارد موضوع شد.
68,ابرو امدن یا انداختن,با حرکت دادن ابرو ناز و دلبری کردن,اگر دلتان بخواهد برایتان مثل خرس می رقصم و مثل بوزینه معلق می زنم. [ اگر ] می خواهید قر بیایم، ابرو بیندازم.  ( محمد علی جمال زاده - دارالمجانین )
69,ابرو برای کسی نگذاشتن یا ابروی کسی را ریختن یا به باد دادن,یا بر باد دادنکسی را رسوا کردن,- خانم، اینقدر دادوفریاد نکن، توی محله ابرو برای ما نگذاشتی ! - حالا که اینطور با من رفتار می کنه، من هم پیش هرکس برسم کثافت کاری هاشو رو می کنم و ابروشو به باد می دم.
70,ابرو پاچه بزی,(ا. چ. ب ) (امر. ) ابروی پر - پشت .,
71,ابرو ترش کردن,، گره برابروانداختن جهت نشان دادن خشم یاناخرسندی,
72,ابرو ی کسی را خریدن,مانع رسوایی یا بی ابرویی کسی شدن؛ برای کسی حیثیت و ابرو ایجاد کردن,اگر ضمانت او نبود، هیچ بانکی به ما اعتبار نمی داد و مجبور می شدیم اعلام ورشکستگی کنیم. او با این کار ابروی ما را خرید.
73,ابغوره گرفتن,(  ) ۱ - ( مصدر ) استخراج ابغوره از غوره. ۲ - گریه کردن گریستن .,
74,ابمان در یک جو نمی رود,با هم موافق و هماهنگ نیستیم، سازش نداریم.,
75,ابوالحسن نجفی,( ۷ تیر ۱۳۰۸ در نجف – ۲ بهمن ۱۳۹۴ در تهران ) ، زبان شناس و مترجم برجسته ایرانی بود. او عضو پیوستهٔ فرهنگستان زبان و ادب فارسی بود. عمده فعالیت های ادبی و علمی او در حوزهٔ ترجمهٔ متون ادبی، ویرایش، زبان شناسی و وزن شعر فارسی است. فرهنگ فارسی عامیانه، غلط ننویسیم و ترجمهٔ فارسی خانوادهٔ تیبو از مشهورترین کارهای نجفی است.  در سال ۱۳۰۸ در نجف به دنیا امد. به گفتهٔ خودش، او تنها عضو خانوادهٔ نجفی بود که در شهر نجف متولد شد، زیرا پدرش برای تحصیل علوم دینی به ان شهر رفته و مجتهد جامع الشرایط بود. برادرش، فضل الله نجفی، از جمله افسرانی بود که در واقعهٔ معروف به قیام افسران خراسان در تابستان ۱۳۲۴ به سرگرد اسکندانی پیوست و جان خود را در این راه گذاشت. نجفی چند سال بعد، همراه خانواده به ایران امد. او تحصیلات ابتدایی و متوسطه را در اصفهان گذراند و در سال ۱۳۲۶ در رشتهٔ ادبی دیپلم گرفت. از جمله معلمان او در دوران دبیرستان، جعفر ال ابراهیم بود که کلاس هایش بر نجفی بسیار تأثیر گذاشت. نجفی سپس برای ادامه تحصیل به تهران امد و در دانشکده ادبیات دانشگاه تهران در رشتهٔ زبان فرانسه مشغول به تحصیل شد. در دوران دانشگاه، از استادانی مثل پرویز ناتل خانلری، فاطمه سیاح و موسی بروخیم تأثیر پذیرفت. او به دلایلی دو سال ترک تحصیل کرد و در سال ۱۳۳۲ با ارائهٔ رساله ای به زبان فرانسه دربارهٔ صادق هدایت فارغ التحصیل شد. نجفی پس از فارغ التحصیلی، به عنوان دبیر دبیرستان های اصفهان مشغول به کار شد. در همان سال ها همراه با عبدالحسین ال رسول و احمد عظیمی زواره ای، انتشارات نیل را در تهران پایه گذاری کرد. کار این انتشارات با انتشار کتاب ساده دل از ولتر با ترجمهٔ محمد قاضی اغاز شد. در سال ۱۳۳۸ برای ادامه تحصیل به فرانسه رفت و تحصیلات خود را تا مقطع فوق لیسانس در رشتهٔ زبان شناسی در دانشگاه سوربن پاریس ادامه داد. در دوران تحصیل، از کلاس های اندره مارتینه بهره برد و قرار بود رسالهٔ دکتری خود را نیز دربارهٔ «ساخت های حروف اضافه در زبان فرانسه» زیرنظر او بنویسد؛ اما به دلایلی در سال ۱۳۴۴ به ایران برگشت، البته با این هدف که به فرانسه بازگردد و کار رساله را ادامه دهد، اما چنان که خودش می گوید:راستش اول فکر می کردم چون تمام فیش ها و ماخذم همراهم هست، می توانم کارم را در ایران تمام کنم. اما بعد که به ایران امدم، دیگر تمرکزم از بین رفت و گرفتار کارهای دیگر شدم و به هرحال نتوانستم دنبال ان کار را بگیرم. مثلا ترجمهٔ بچه های کوچک قرن را که در پاریس تقریبا تمام کرده بودم، در همان چند ماه اول ورودم به ایران اماده کردم و تحویل انتشارات نیل دادم.wiki: گزارش تخلف یا اشتباه در معنی,
76,ابی از کسی گرم نشدن,فایده ای از کسی نرسیدن,فکرش را از سرت بیرون کن، ابی از این ادم گرم نمی شود.
77,ابی ازش گرم نمی شه,نفعی از او نمی رسد.,
78,ابی با کسی گرم کردن,1- با کسی دوست شدن یا رابطه ی خوبی برقرار کردن 2- با کسی رابطه ی عاشقانه برقرار کردن,1- پسرعموی من ادم خشکی است، نمی شود با او ابی گرم کرد.  2- مثل اینکه دلت لک زده برای اینکه با دختره ابی گرم کنی !
79,اتش اول خودش را می سوزاند,ضرر کار بد اول به خود شخص می رسد، ظلم ظالم اول به خودش بر می گردد.,
80,اتش به خرمن کسی افتادن,به مصیبت یا رنج گرفتار شدن,داشتیم زندگیمان را می کردیم وضعمان هم بد نبود تا اینکه با این انقلاب اتش به خرمن همه افتاد.
81,اتش بیار معرکه,دو به هم زن، فتنه انگیز.,
82,اتش زیر خاکستر,(فیلم ۱۹۹۷).   ( به انگلیسی: Fire Down Below ) یک فیلم سینمایی امریکایی در ژانر اکشن محصول سال ۱۹۹۷ میلادی به کارگردانی فلیکس انریکز الکالا با بازی استیون سیگال. داستان دربارهنماینده حفاظت از محیط زیست، جک تاگگارت در حال مبارزه با انواع مشاغل بزرگ به سرپرستی اورین هانر است که زباله های سمی را در جایی در منطقه تپه های کنتاکی می ریزند. انها همچنین عامل همکار وی را به قتل رسانده و طبیعت منطقه را نیز می کشند.wiki:  (فیلم ۱۹۹۷)گزارش تخلف یا اشتباه در معنی,
83,اتش که بیفتد خشک و تر با هم می سوزد,بلا و ظلم که برسد گناهکار و بی گناه با هم از بین می روند.,
84,اتفاق کردن بر کسی یا چیزی,( قدیم ) درباره ی کسی یا چیزی به موافقت رسیدن,بر سر تعیین او به فرماندهی سپاه اتفاق کردند.
85,اتمام حجت کردن با کسی,به کسی هشدار دادن؛ حرف اخر و تصمیم نهایی خود را با هشدار بیان کردن,دارم باهات اتمام حجت می کنم، اینجا جای این جور کارها نیست.
86,اتو دست کسی دادن,سند یا نقطه ضعف محکوم کننده ای در اختیار کسی گذاشتن، نقطه ضعف به کسی نشان دادن.,
87,اتو کشیده,. [ ا ک  یا ک  د یا د ] ( ن مف مرکب ) جامه ای که اتو کرده باشند : بغیر من که بتن نقش بوریا دارم اتوکشیده که دارد قبای عریانی.اشرف.,
88,اتوب,. [ ا ] ( ع ا ) ج  اتب ،بمعنی شاماکچه و پیراهن زنان و چادری که از میان چاک زده زنان پوشند بی گریبان و استین. ( منتهی الارب ).,
89,اثاث خونه به صاحب خونه,سر و وضع و اثاث خانه نشان دهنده سلیقه و روحیات صاحب ان می باشد.,
90,اجاره نشین خوش نشینه,کسی که خانه ندارد می تواند به راحتی محل زندگیش را عوض کند و هر جایی که خوشش امد زندگی کند. دلبستگی نداشتن به چیزی.,
91,اجاق کسی کور بودن,بچه دار نشدن,من چه گناهی کرده ام که اجاقم کور است؟ تقصیر خودم که نیست.
92,اجاق کور بهتر از بچه بی نور,اجاق کور یعنی زن نازا یا بی بچه، اشاره به اینکه فرزند نداشتن بهتر از فرزند ناخلف داشتن می باشد.,
93,اجر,(  ) .[ ج  ] ( معرب ، ا ) معرب اگور، از فارسی یا بگفته منتهی الارب یونانی. خشت پخته. اجور. اگور : خم رها کن ، که بود چاهی ژرف سر به  براوریده شگرف.نظامی. -  بزرگ ؛ به فارسی تاوه گویند که معرب ان طابق است و نیز بتازی ان را اردبه خوانند.-  تراش ؛ ی است که برونسوی اوساییده و هموار شده باشد زینت را و قسمی از ان را امروز قزاقی گویند.-  جوش ؛  بسیار پخته و از صورت و رنگ بگشته که در بنیاد ابنیه و پیرامن تپه های گلکاری بکار برند.-  ختایی ؛ نوعی از ، بزرگتر از  عادی و کوچک تر از  نظامی.- امثال :نان کسی را  کردن ؛ امید نفع و نعمت او را بدل بنومیدی کردن.. [ ج  ] ( از فرانسوی ، ص ، ا ) ( از فرانسوی  اژور ) مشبک. بسوراخ ، و ان را شبکه و سه پایه نیز گویند.-  زدن ؛ سه پایه دوختن و شبکه زدن.. [ ج  ] ( اخ ) صورتی از ه، نام مادر اسماعیل علیه السلام.. [ ج رر ] ( اخ ) قریه یا محله ای از بغداد که چند تن از مشاهیر بنسبت بدان ی لقب یافته اند، و ان را درب ال هم می گفته اند.. [ ا ] ( ع ا ) پاداش عمل. ( منتهی الارب ). پاداش نیک. مزد. ت. مزد کار : بدرستی که او ضایع نمیگرداند  نیکوکاران را. ( تاریخ بیهقی ). ج ، اجار، اجور. || ثواب : چنان دید امیرالمؤمنین... که بگرداند خاطر خود را از جزع بر این مصیبت بسوی بازیافت  و ثواب. ( تاریخ بیهقی ). || ذکر نیکو. || کابین زنان. ( منتهی الارب ). مهر زن. || ( مص ) مزدور کسی بودن. ( زوزنی ) ( تاج المصادر ). || پاداش دادن. ( منتهی الارب ). پاداش نیک دادن. مزد دادن. || استخوان شکسته پیوستن. استخوان بر کژی وادربستن. ( تاج المصادر ). به شدن استخوان شکسته بر کجی و ناراستی : ت العظم انا؛ بستم استخوان شکسته را بر کجی ( لازم و متعدی است ). ( منتهی الارب ).|| بکرایه دادن چنانکه مملوک را:  المملوک. ( منتهی الارب ).-  بردن ؛ پاداش یافتن : اندوزد از عبادت یزدان عدوی اوی که برهمن برد از طاعت صنم.عرفی.-  غیرممنون ؛ ثواب بی نقصان.. [ ا ج  ] ( معرب ، ا ) ( معرب اگور ) لغتی است در . خشت پخته. ( منتهی الارب ). رجوع به  شود.بیشتر بخوانید ...,
94,اجل دور سرش می چرخد,وضعیت ناگوار و خطرناکی در انتظارش است.,
95,اجمالتیم,کوچک شما هستیم,
96,احمد نباشه یار من الله بسازه کار من,اگر کسی کمکم نکند خداوند یاریم می کند.,
97,اخرابتیم,خرابتیم,
98,اخم را توی هم کردن یا درهم کشیدن یا به هم کشیدن,یا به هم کشیدنناراحتی و خشم از خود نشان دادن,همین که حرف از پول به میان امد، اخم هایش را درهم کشید.
99,اخم وتخم کردن یا اخم وتخم چیزی را برای کسی اوردن,بداخلاقی کردن؛ عصبانیت از خود نشان دادن,- به طور کلی ادم بداخلاقی نیست، اما اگر یکی از کارگران درباره ی حقوق عقب افتاده حرفی بزند، شروع می کند به اخم وتخم کردن.  - می ری توی قمارخونه ها پول هاتو می بازی و اخم وتخمش رو برای ما می اری؟
100,اخور خود را گم کردن,( توهین امیز ) فضولی یا به کار دیگران دخالت کردن,چیه، مگه اخورتو گم کردی؟ به تو چه مربوطه که ما چه کار می کنیم !
101,اخور کسی پر بودن,( توهین امیز ) مرفه بودن؛ وضع مالی خوب داشتن؛ نیاز مالی نداشتن,دیگر چه می خواهد؟ اخورش پر است و گرفتاری دیگری هم ندارد.
102,ادم به امید زنده است,اگر امید را از انسان بگیرند، دیگر انگیزه ای برای زنده ماندن نخواهد داشت.,
103,ادم تا کوچکی نکنه بزرگ نمی شه,ادم تا شاگردی و فروتنی نکند به مقام بزرگی و استادی نخواهد رسید.,
104,ادم تو افتابه پپسی بخوره خیط نشه,مترادف: ادم کچل بشه، کنفت نشه,
105,ادم خوش حساب شریک مال مردم است,ادم خوش حساب را همه قبول دارند، بنابراین همیشه می تواند روی کمک دیگران و یا قرض گرفتن از دیگران حساب کند.,
106,ادم زنده زندگی می خواهد,خطاب به کسی که به قید درویشی از مسئولیت های زندگی شانه خالی کرده و به مادیات و تامین رفاه نسبی بی اعتنا باشد.,
107,ادم زنده وکیل وصی نمی خواهد,کسی که خودش حاضر است، لازم نیست کس دیگری به جایش حرف بزند یا تصمیم بگیرد.,
108,ادم سیر شصت لقمه می خوره,برای تشویق یک نفر به غذا خوردن تعارف کردن.,
109,ادم عاقل با طناب پوسیده کسی به درون چاه نمی رود,انسان عاقل با هر قول و وعده بی پایه و اساس کار خطرناک انجام نمی دهد.,
110,ادم گدا این همه ادا,فرومایه ای که فخر فروشی کند.,
111,ادم گرسنه دین و ایمان نداره,کسی که امور دنیا و زندگیش لنگ است نی تواند به فکر اخرت باشد. ادم گرسنه برای سیر کردن شکم خود دست به هرکاری می زند.,
112,ادم ناشی بوق را از سر گشادش می زند,کسی که می خواهد کاری انجام دهد ولی بلد نیست.,
113,ادم یک بار پاش تو چاله می ره,ادم یک بار اشتباه می کند یا گول می خورد. سفارش به عدم اشتباه مجدد در انجام کار.,
114,ادم یک دنده,ادم لج باز یا سرسخت؛ کسی که دارای رای و نظر ثابت و تغییرناپذیر است,این اقای رئیس  ای است؛ می خواهد به رغم نظر منفی همه ی کارشناسان، طرح خودش را به اجرا بگذارد.
115,ارایه دادن,خراب کردن، ضایع کردن.,” یارو ارایه داد”
116,ارث پدر یا بابای خود را طلبکار بودن یا خواستن,چیزی را حق خود دانستن و مطالبه کردن,- پدرسوخته... توی روی من پرخاش می کند، مثل اینکه ارث باباش را از من می خواهد.  ( حاجی اقا – صادق هدایت )   - خدا پدرشان را بیامرزد، تنها ملتی که یک خرده دستک و دمبک به ما گذاشت، انها بودند، در صورتی که ارث پدرم را از انها طلبکار نبودم.  ( نامه های هدایت )
117,ارث دست کسی سپردن,توقع بی جا از کسی داشتن.,
118,اردهامو بیختم و الکش رو اویختم,در جوانی همه کارهایم را انجام داده ام و اکنون کاری ندارم. ارزو نداشتن.,
119,اردک الزمان,تازه به دوران رسیده,
120,ارزانی کسی بودن,پیشکش کسی بودن,درجه و مقام ارزانی خودشان، همین که مرا راحت بگذارند، کافی است. توضیح: معمولا به اعتراض و با تمسخر گفته می شود.
121,ارزن از دست کسی نریختن,بسیار خسیس بودن,با این همه ثروت، ارزن از دستش نمی ریزد. توضیح: همچنین ← «اب از دست کسی نچکیدن»
122,ارزو بر جوانان عیب نیست,در مقابل خواسته های بر اورده نشدنی جوانان می گویند. جوانان باید تمید داشته باشند و برای اهداف اینده تلاش کنند.,
123,ارزو بر دل,نا امید و محروم از چیزی که به ان دل بسته شده باشد.,
124,ارنولد فشرده,مرد ریز اندامی که زیبایی اندام کار کرده است,
125,اره بده تیشه بگیر,یکی به دو، مشاجره، بگو و بشنوی همراه با درگیری بر سر چیزی.,
